PeakID (cmd=annotatePeaks.pl /home/abhi39/Projects/CHIPseq/output/4_peak_calling/output/differential_binding/unique_IFNa6h.bed hg38 -annStats /home/abhi39/Projects/CHIPseq/output/8_peak_annotation/annotated_IFNa6h_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Peak_64413	KI270315.1	2174	2202	+	1000													
Peak_89872	KI270509.1	2221	2318	+	1000													
Peak_64808	KI270329.1	815	886	+	1000													
Peak_68644	KI270423.1	496	510	+	1000													
Peak_199401	KI270750.1	147696	147738	+	1000													
Peak_63842	KI270302.1	2003	2118	+	1000													
Peak_89824	KI270508.1	1883	1894	+	1000													
Peak_18054986	chr6	170745873	170745880	+	1000		Intergenic	Intergenic	-161184.0	NM_001199461	5134.0		NM_002598	ENSG00000071994	PDCD2	RP8|ZMYND7	programmed cell death 2	protein-coding
Peak_90554	KI270516.1	1102	1200	+	1000													
Peak_67279	KI270362.1	3451	3493	+	1000													
Peak_63840	KI270302.1	1961	1990	+	1000													
Peak_130369	KI270728.1	1872628	1872656	+	1000													
Peak_94318	KI270587.1	2826	2892	+	1000													
Peak_63838	KI270302.1	1803	1918	+	1000													
Peak_68666	KI270424.1	2046	2089	+	1000													
Peak_64666	KI270320.1	4375	4412	+	1000													
Peak_67839	KI270393.1	1300	1308	+	1000													
Peak_67475	KI270374.1	1932	2013	+	1000													
Peak_197103	KI270748.1	92949	92977	+	1000													
Peak_64443	KI270316.1	1231	1315	+	1000													
Peak_118519	KI270724.1	39281	39450	+	1000													
Peak_94149	KI270581.1	6732	6783	+	1000													
Peak_6488929	chr14	106883192	106883281	+	1000		Intergenic	TAR1|Satellite|telo	-32237.0	NR_049827	100847062.0		NR_049827	ENSG00000265929	MIR5195	-	microRNA 5195	ncRNA
Peak_64098	KI270304.1	2150	2165	+	1000													
Peak_67722	KI270389.1	1146	1291	+	1000													
Peak_68648	KI270423.1	696	784	+	1000													
Peak_66201	KI270334.1	977	1058	+	1000													
Peak_162502	KI270735.1	42749	42773	+	1000													
Peak_87443	KI270465.1	1721	1731	+	1000													
Peak_67709	KI270388.1	1030	1045	+	1000													
Peak_207068	KI270756.1	79535	79590	+	1000													
Peak_67795	KI270392.1	805	817	+	1000													
Peak_87446	KI270465.1	1739	1774	+	1000													
Peak_67494	KI270375.1	2202	2246	+	1000													
Peak_67451	KI270372.1	1409	1466	+	1000													
Peak_89795	KI270507.1	5091	5115	+	1000													
Peak_63834	KI270302.1	1229	1375	+	1000													
Peak_87439	KI270465.1	1574	1671	+	1000													
Peak_94150	KI270581.1	6784	6800	+	1000													
Peak_68439	KI270417.1	1988	2001	+	1000													
Peak_94152	KI270581.1	6853	6983	+	1000													
Peak_197104	KI270748.1	92978	93148	+	1000													
